"table s13: trends in victim satisfaction with the police, people aged 16 and over, year ending december 1992 to year ending march 2023 [note 1][note 2]",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,unnamed: 19,unnamed: 20,unnamed: 21,unnamed: 22,unnamed: 23,unnamed: 24,unnamed: 25,unnamed: 26,unnamed: 27,age_band
England and Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet. The units in this table are percentages.,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Link to notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Some shorthand is used in this table. [x] denotes that data are not available. [s] denotes there is a statistically significant change at the 5% level.,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Link to table of contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Trend in victim satisfaction with the police,Jan 1992 to Dec 1992,Jan 1994 to Dec 1994,Jan 1996 to Dec 1996,Jan 1998 to Dec 1998,Jan 2000 to Dec 2000,"Apr 2001 to Mar 2002 
[note 3]",Apr 2002 to Mar 2003,Apr 2003 to Mar 2004,Apr 2004 to Mar 2005,Apr 2005 to Mar 2006,Apr 2006 to Mar 2007,Apr 2007 to Mar 2008,Apr 2008 to Mar 2009,Apr 2009 to Mar 2010,Apr 2010 to Mar 2011,Apr 2011 to Mar 2012,Apr 2012 to Mar 2013,Apr 2013 to Mar 2014,Apr 2014 to Mar 2015,Apr 2015 to Mar 2016,Apr 2016 to Mar 2017,Apr 2017 to Mar 2018,Apr 2018 to Mar 2019,Apr 2019 to Mar 2020,Apr 2022 to Mar 2023,Apr 2022 to Mar 2023 compared with Apr 2012 to Mar 2013 [note 4],Apr 2022 to Mar 2023 compared with Apr 2019 to Mar 2020 [note 4],unknown
Very satisfied,30,32,28,26,24,[x],25.151185922649972,23.07829654520406,24.24482525725623,22.912760945329723,23.55259730059975,25.41814561663391,30.023522222810758,36.59059871121928,37.597191186803414,37.27120962456541,37.97408691116588,42.94446137711048,39.81649567903439,41.46648661746642,38.05728613289372,33.60259524179505,35.024169945379356,31.92027480177158,27.50794978726283,[s],,unknown
Fairly satisfied,37,36,38,39,35,[x],34.34962481173361,35.0461725874934,33.654538161913884,34.93794415272041,34.7564838725819,33.28717121016516,33.798709787276735,32.11848179790875,32.45263936250221,34.138323949972445,35.467864235283045,31.577359312809495,30.38996078021463,30.75098208211028,30.199250336006617,33.43617677731958,30.642113775466868,33.68055191254174,30.04887700707685,[s],[s],unknown
Not satisfied,33,32,34,35,41,[x],40.49918926561641,41.875530867302544,42.10063658082988,42.14929490194986,41.69091882681827,41.29468317320091,36.17776798991252,31.290919490872085,29.95016945069441,28.590466425462203,26.55804885355106,25.47817931008005,29.79354354075098,27.782531300423287,31.74346353109967,32.961227980885354,34.33371627915377,34.39917328568667,42.44317320566033,[s],[s],unknown
Unweighted base - number of incidents,2552,4344,4232,3119,3565,[x],4881,4771,5057,5270,5347,4758,4769,4385,4435,4283,2937,2562,2289,2310,2155,2125,2110,1815,1207,,,unknown
