"table s21: awareness and use of the 101 non-emergency police number, people aged 16 and over, by personal characteristics, year ending march 2023",unnamed: 1,unnamed: 2,unnamed: 3,age_band
England and Wales,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet.,,,,unknown
Link to notes ,,,,unknown
Some shorthand is used in this table. [u] denotes that data are not reported because the unweighted base is fewer than 50.,,,,unknown
Link to table of contents,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,unknown
Personal characteristic [note 1],Personal characteristic breakdown,People who had used the 101 non-emergency police number (%) [note 2],Unweighted base - number of people aged 16 and over,unknown
All people,All people,8.609984382920102,31133,unknown
All people,16-24,5.663785209079072,1666,unknown
All people,25-34,10.281025007194055,4219,unknown
All people,35-44,11.011667990528235,4914,unknown
All people,45-54,11.012601686350845,4728,unknown
All people,55-64,9.310633645513612,5447,unknown
All people,65-74,6.451715711046399,5248,unknown
All people,75+,3.6848389325256123,4911,unknown
Men,Men,7.830543117698871,14744,unknown
Men,16-24,4.51600951941243,834,unknown
Men,25-34,8.605330151851682,1939,unknown
Men,35-44,10.368610994907868,2209,unknown
Men,45-54,10.055880312134862,2256,unknown
Men,55-64,8.091988174256208,2677,unknown
Men,65-74,6.893517228653306,2551,unknown
Men,75+,3.7181623416919636,2278,unknown
Women,Women,9.36136314133148,16389,unknown
Women,16-24,6.872579355948577,832,unknown
Women,25-34,11.99796625630424,2280,unknown
Women,35-44,11.639607639327886,2705,unknown
Women,45-54,11.943081458045679,2472,unknown
Women,55-64,10.47987036466317,2770,unknown
Women,65-74,6.043379664285298,2697,unknown
Women,75+,3.6577809468624394,2633,unknown
Ethnic group,White ,9.375973115222935,27093,unknown
Ethnic group,   English/Welsh/Scottish/Northern Irish/British,9.759244870095749,24950,unknown
Ethnic group,   Irish,6.867191295191229,269,unknown
Ethnic group,   Gypsy or Irish Traveller,[u],13,unknown
Ethnic group,   Any other white background,5.569720627516003,1861,unknown
Ethnic group,Mixed/Multiple,10.664962779573285,432,unknown
Ethnic group,   White and Black Caribbean,7.004145082141575,120,unknown
Ethnic group,   White and Black African,5.91994631097074,79,unknown
Ethnic group,   White and Asian,7.72471075714455,111,unknown
Ethnic group,   Any other Mixed/Multiple ethnic background,19.75304680024363,122,unknown
Ethnic group,Asian/Asian British,3.7005355559047617,2229,unknown
Ethnic group,   Indian,3.4743993597160343,947,unknown
Ethnic group,   Pakistani,5.597388086565125,515,unknown
Ethnic group,   Bangladeshi,2.8111207298068632,158,unknown
Ethnic group,   Chinese,1.6970435021196026,213,unknown
Ethnic group,   Any other Asian background,2.945389505943668,396,unknown
Ethnic group,Black/African/Caribbean/Black British,5.341761719187651,982,unknown
Ethnic group,   African,4.917012646758303,646,unknown
Ethnic group,   Caribbean,6.132181788454639,281,unknown
Ethnic group,   Any other Black/African/Caribbean background,7.466657058697683,55,unknown
Ethnic group,Other ethnic group,5.661695559745603,334,unknown
Ethnic group,   Arab,5.740394037627984,118,unknown
Ethnic group,   Any other ethnic group,5.613326722312925,216,unknown
Country of Birth,Born in the UK,9.551782931515081,25990,unknown
Country of Birth,Not born in the UK,4.879908597647298,5049,unknown
Marital status,Married/civil partnered,8.40690891592758,14012,unknown
Marital status,Cohabiting,12.989329563482032,2893,unknown
Marital status,Single,7.151995948062274,7463,unknown
Marital status,Separated,14.236674311226247,770,unknown
Marital status,Divorced/legally dissolved partnership,10.896970766867984,2637,unknown
Marital status,Widowed,4.627510538073856,3149,unknown
Respondent's employment status,Employed,10.191190780008201,17452,unknown
Respondent's employment status,Unemployed,9.622560628330982,339,unknown
