"table s39: percentage of people aged 16 and over who felt very or fairly safe when walking alone after dark, by household and area characteristics",unnamed: 1,unnamed: 2,unnamed: 3,age_band
"England and Wales, year ending March 2023",,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units used in this table are percentages.,,,,unknown
Link to notes,,,,unknown
Some shorthand is used in this table. [u] denotes that data are not reported because the unweighted base is fewer than 50.,,,,unknown
Link to table of contents,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,unknown
Household or area characteristic [note 1],Household or area characteristic breakdown ,Percentage who feel very or fairly safe [note 2],Unweighted base - number of people aged 16 and over [note 3],unknown
All people,All people aged 16 and over,79.13920834,7363,unknown
Structure of household,Single person and child(ren) under 16,72.23810482,321,unknown
Structure of household,Persons and child(ren) under 16,80.9152889,1386,unknown
Structure of household,Person(s) and no children,78.81201258,5656,unknown
Total household income,"Less than £10,400",68.20655829,544,unknown
Total household income,"£10,400 to less than £20,800",70.71095104,1230,unknown
Total household income,"£20,800 to less than £31,200",78.94890824,1094,unknown
Total household income,"£31,200 to less than £41,600",79.26733527,851,unknown
Total household income,"£41,600 to less than £52,000",82.35800698,682,unknown
Total household income,"£52,000 or more",84.81613386,1557,unknown
Total household income,No income stated or not enough information provided,78.42492185,127,unknown
Tenure,Owners,81.3795617,4943,unknown
Tenure,Social renters,68.55486198,1064,unknown
Tenure,Private renters,79.52040808,1269,unknown
Accommodation type ,Houses,79.54956012,6298,unknown
Accommodation type ,Detached,84.22798601,2040,unknown
Accommodation type ,Semi-detached,78.38326324,2325,unknown
Accommodation type ,Terraced,76.42318635,1933,unknown
Accommodation type ,Flats/maisonettes,76.58287578,1016,unknown
Accommodation type ,Other accommodation,[u],19,unknown
Output Area Classification,Rural residents,86.85801935,1036,unknown
Output Area Classification,Cosmopolitans,80.21235045,255,unknown
Output Area Classification,Ethnicity central,76.1237043,316,unknown
Output Area Classification,Multicultural metropolitans,77.07247805,882,unknown
Output Area Classification,Urbanites,82.07199875,1369,unknown
Output Area Classification,Suburbanites,83.19024327,1657,unknown
Output Area Classification,Constrained city dwellers,70.52466204,500,unknown
Output Area Classification,Hard-pressed living,71.50780276,1348,unknown
Area type,Urban,77.15932041,5735,unknown
Area type,Rural,87.4779099,1628,unknown
Level of physical disorder,High,67.62335824,496,unknown
Level of physical disorder,Not high,80.03450283,6857,unknown
English Indices of Deprivation (Employment),20% most deprived Output Areas,68.06996193,1280,unknown
English Indices of Deprivation (Employment),Other Output Areas,80.4181572,4132,unknown
English Indices of Deprivation (Employment),20% least deprived Output Areas,85.75421705,1388,unknown
Welsh Indices of Deprivation (Employment),20% most deprived Output Areas,66.0238239,89,unknown
Welsh Indices of Deprivation (Employment),Other Output Areas,80.70995283,376,unknown
Welsh Indices of Deprivation (Employment),20% least deprived Output Areas,84.47275909,98,unknown
Region,North East,73.77199349,383,unknown
Region,North West,77.9330434,884,unknown
Region,Yorkshire and The Humber,77.11454461,575,unknown
Region,East Midlands,79.95775847,737,unknown
Region,West Midlands,75.61841608,873,unknown
Region,East,79.03934999,806,unknown
Region,London,82.70921066,761,unknown
Region,South East,79.09973189,1047,unknown
Region,South West,82.75256681,734,unknown
Region,Wales,78.92030942,563,unknown
