table s35: perceptions of changing anti-social behaviour (asb) levels in the local area over the past couple of years,unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,age_band
"England and Wales, year ending March 2012 to year ending March 2023",,,,,,,,,,,unknown
This worksheet contains one table. The units in this table are percentages. Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,,,unknown
Link to notes,,,,,,,,,,,unknown
Some shorthand is used in this table. [s] denotes there is a statistically significant change at the 5% level.					,,,,,,,,,,,unknown
Link to table of contents,,,,,,,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,,,,,unknown
Perceptions of ASB in the local area,"April 2012 to March 2013
"," April 2013 to March 2014
"," April 2014 to March 2015
  ","April 2015 to March 2016
"," April 2016 to March 2017
 ","April 2017 to March 2018
 ","April 2018 to March 2019
","April 2019 to March 2020
","April 2022 to March 2023
",April 2022 to March 2023 compared with April 2012 to March 2013,unknown
Increased,27.861571751928967,23.101562034099256,23.158739001408357,21.94653654715523,22.871538947285313,26.361935617511435,28.48390953827854,29.3204811424756,29.7949054584493,[s],unknown
Stayed the same ,60.67179952669384,63.250295392739005,61.75544309636698,64.12251072933437,61.845091388703864,62.86051075331527,60.26560098693261,60.6533860923253,61.0902786561613,,unknown
Decreased ,11.466628721377079,13.648142573161659,15.085817902224552,13.930952723509996,15.283369664010682,10.777553629173385,11.250489474788703,10.026132765199,9.114815885389529,[s],unknown
Unweighted base - number of people aged 16 and over,7387,7662,7163,7514,7461,7336,7228,7292,6669,,unknown
