"table s14:  incidents in which victims were satisfied with the police by crime type, people aged 16 and over [note 1]",unnamed: 1,unnamed: 2,age_band
"England and Wales, year ending March 2023",,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet. The units in this table are percentages.,,,unknown
Link to notes,,,unknown
Link to table of contents,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,unknown
Crime type,Satisfaction with the police (%) [note 2],Unweighted base - number of incidents,unknown
Violence,66.26536141279765,184,unknown
With injury,62.05944936397172,99,unknown
Without injury ,70.6856311400168,85,unknown
Theft offences,55.90384974687937,810,unknown
Theft from the person,[u],40,unknown
Other theft of personal property,59.07452491762945,60,unknown
Domestic burglary,68.06897930811202,211,unknown
Other household theft,46.024258221330285,99,unknown
Vehicle-related theft,53.47231122454584,299,unknown
Bicycle theft,45.56457083932594,101,unknown
Criminal damage,48.30152523500013,189,unknown
