"table s27: perceptions of changing crime levels, people aged 16 and over, by personal characteristics",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,age_band
"England and Wales, year ending March 2023",,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units in this table are percentages.,,,,,unknown
Link to notes ,,,,,unknown
Some shorthand is used in this table. [u] denotes that data are not reported because the unweighted base is fewer than 50.,,,,,unknown
Link to table of contents,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,unknown
Personal characteristic [note 1],Personal characteristic breakdown,Percentage saying crime has gone up 'a little' or 'a lot' in the past few years: national level,Percentage saying crime has gone up 'a little' or 'a lot' in the past few years: local level,Unweighted base - number of people aged 16 and over [note 2],unknown
All people,All people,73.63031766184935,48.95937344525657,15173,unknown
All people,16-24,67.63170687187295,43.673535862431294,812,unknown
All people,25-34,68.23031351129168,50.45367975738863,2010,unknown
All people,35-44,70.18410166965755,51.46926347370886,2363,unknown
All people,45-54,73.20698051405284,53.645698588028424,2413,unknown
All people,55-64,77.42169863872552,51.980664512927824,2651,unknown
All people,65-74,78.57346508516137,45.60576856487571,2547,unknown
All people,75+,83.09904002410879,41.648882471328164,2377,unknown
Men,Men,69.36025977721772,45.89386269665403,7160,unknown
Men,16-24,64.81597090884142,39.6496597105262,392,unknown
Men,25-34,64.03896893603222,45.86198589168508,890,unknown
Men,35-44,65.08999543779484,48.67049923701314,1052,unknown
Men,45-54,68.75950780896314,50.80013252997456,1168,unknown
Men,55-64,72.40907103347925,48.48921831715099,1289,unknown
Men,65-74,74.28958285157343,42.159796264858876,1234,unknown
Men,75+,88.05984156810938,41.12684816105141,1135,unknown
Women,Women,77.64785725281985,51.795867600581424,8013,unknown
Women,16-24,70.27293133548463,47.74513124609497,420,unknown
Women,25-34,72.19090106708713,54.587304562508656,1120,unknown
Women,35-44,75.1054318196991,54.08729119660865,1311,unknown
Women,45-54,77.6431348064089,56.31599085143873,1245,unknown
Women,55-64,82.07034278447203,55.20942374057075,1362,unknown
Women,65-74,82.52161598338628,48.78246777727533,1313,unknown
Women,75+,85.48370581580895,42.09687124601964,1242,unknown
Ethnic group,White ,74.52495916451025,49.051020221412415,13270,unknown
Ethnic group,   English/Welsh/Scottish/Northern Irish/British,75.96310166765655,49.241004640494076,12247,unknown
Ethnic group,   Irish,72.90174502745553,53.93050941302916,124,unknown
Ethnic group,   Gypsy or Irish Traveller,[u],[u],4,unknown
Ethnic group,   Any other white background,59.67582244029782,45.66400946518249,895,unknown
Ethnic group,Mixed/Multiple,75.67754998614379,53.54525725114553,204,unknown
Ethnic group,   White and Black Caribbean,70.89405974696122,45.82095046417502,61,unknown
Ethnic group,   White and Black African,[u],[u],38,unknown
Ethnic group,   White and Asian,71.10820863472881,53.74058691354515,50,unknown
Ethnic group,   Any other Mixed/Multiple ethnic background,83.15497678098596,67.31529664512784,55,unknown
