"table s33: high levels of perceived anti-social behaviour in local area, people aged 16 and over, by personal characteristics",unnamed: 1,unnamed: 2,unnamed: 3,age_band
"England and Wales, year ending March 2023",,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet. The units used in this table are percentages.,,,,unknown
Link to notes,,,,unknown
Some shorthand is used in this table. [u] denotes that that data are not reported because the unweighted base is fewer than 50,,,,unknown
Link to table of contents,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,unknown
Personal characteristic [note 1] ,Personal characteristic breakdown,Percentage of people reporting high level of perceived ASB [note 2],Unweighted base - number of people aged 16 and over,unknown
All people,All people,7.701104687032361,7891,unknown
All people,16-24,11.235134447779945,476,unknown
All people,25-34,9.529031446953724,1068,unknown
All people,35-44,8.648352458235884,1255,unknown
All people,45-54,8.010702253264302,1126,unknown
All people,55-64,6.944284937164769,1421,unknown
All people,65-74,4.651306393521924,1327,unknown
All people,75+,2.8282771830916964,1218,unknown
Men,Men,7.282944534636631,3814,unknown
Men,16-24,10.813959653883966,241,unknown
Men,25-34,8.40839685045043,513,unknown
Men,35-44,8.516781737595375,564,unknown
Men,45-54,6.13500809884785,527,unknown
Men,55-64,7.370474633248675,729,unknown
Men,65-74,5.015226434046366,664,unknown
Men,75+,2.0649183350182865,576,unknown
Women,Women,8.128192174291886,4077,unknown
Women,16-24,11.690524641113003,235,unknown
Women,25-34,10.861605077209909,555,unknown
Women,35-44,8.780150742801561,691,unknown
Women,45-54,9.731142498625967,599,unknown
Women,55-64,6.474383098440846,692,unknown
Women,65-74,4.300427043576951,663,unknown
Women,75+,3.475800258859929,642,unknown
Ethnic group,White ,7.1826969582510785,6859,unknown
Ethnic group,   English/Welsh/Scottish/Northern Irish/British,6.799428684141705,6298,unknown
Ethnic group,   Irish,4.621861422727667,79,unknown
Ethnic group,   Gypsy or Irish Traveller,[u],7,unknown
Ethnic group,   Any other white background,11.060220681963093,475,unknown
Ethnic group,Mixed/Multiple,10.164825188964713,113,unknown
Ethnic group,   White and Black Caribbean,[u],28,unknown
Ethnic group,   White and Black African,[u],25,unknown
Ethnic group,   White and Asian,[u],22,unknown
Ethnic group,   Any other Mixed/Multiple ethnic background,[u],38,unknown
Ethnic group,Asian/Asian British,10.52794796028101,580,unknown
Ethnic group,   Indian,10.209257441617435,261,unknown
Ethnic group,   Pakistani,12.368674713569346,122,unknown
Ethnic group,   Bangladeshi,[u],40,unknown
Ethnic group,   Chinese,5.458590141163653,63,unknown
Ethnic group,   Any other Asian background,7.290909023220901,94,unknown
Ethnic group,Black/African/Caribbean/Black British,7.886228274657441,247,unknown
Ethnic group,   African,6.506649062133622,172,unknown
Ethnic group,   Caribbean,12.048698288912021,66,unknown
Ethnic group,   Any other Black/African/Caribbean background,[u],9,unknown
Ethnic group,Other ethnic group,9.611828149785234,74,unknown
Ethnic group,   Arab,[u],29,unknown
Ethnic group,   Any other ethnic group,[u],45,unknown
Country of birth,Born in the UK,7.246801148743629,6584,unknown
Country of birth,Not born in the UK,9.19552703920157,1281,unknown
Marital status,Married/civil partnered,6.022280765155324,3544,unknown
Marital status,Cohabiting,7.789860328184868,732,unknown
Marital status,Single,10.790041946878036,1908,unknown
Marital status,Separated,8.005563230516488,203,unknown
Marital status,Divorced/legally dissolved partnership,9.82761450600567,647,unknown
Marital status,Widowed,2.5687409267195522,802,unknown
Respondent's employment status,Employed,7.407196353055198,4447,unknown
Respondent's employment status,Unemployed,7.216809911372303,78,unknown
Respondent's employment status,Economically inactive,8.092687388791484,3343,unknown
Respondent's employment status,Economically inactive: student,11.315419655373594,167,unknown
