"table s4: trends in ratings and perceptions of the local police, people aged 16 years and over, year ending march 2006 to year ending march 2023 csew [note 1][note 2][note 3]",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,age_band
England and Wales,,,,,,,,,,,,,,,,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units in this table are percentages.,,,,,,,,,,,,,,,,,,,unknown
Link to notes ,,,,,,,,,,,,,,,,,,,unknown
Some shorthand is used in this table. [z] denotes that data are not applicable. [s] denotes the change is significant at the 5% level. ,,,,,,,,,,,,,,,,,,,unknown
Link to table of contents,,,,,,,,,,,,,,,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,,,,,,,,,,,,,unknown
Percentage saying they 'tend to agree' or 'strongly agree',"Apr 2005 to
Mar 2006 [note 4]","Apr 2006 to
Mar 2007","Apr 2007 to 
Mar 2008 ","Apr 2008 to
Mar 2009","Apr 2009 to
Mar 2010","Apr 2010 to 
Mar 2011 ","Apr 2011 to 
Mar 2012
[note 1, 2, 3]","Apr 2012 to 
Mar 2013
[note 2, 3]","Apr 2013 to
Mar 2014
[note 2, 3]","Apr 2014 to
Mar 2015
[note 2, 3]","Apr 2015 to
Mar 2016
[note 2, 3]","Apr 2016 to
Mar 2017
[note 2, 3]","Apr 2017 to Mar 2018 [note 2, 3]","Apr 2018 to Mar 2019
","Apr 2019 to
 Mar 2020","Apr 2022 to
 Mar 2023
 ","Apr 2022 to Mar 2023 compared with Apr 2012 to Mar 2013
[note 5]","Apr 2022 to Mar 2023 compared with Apr 2019 to Mar 2020
[note 5]",unknown
Police doing a good/excellent job,50.37441389217516,51.146771081026735,52.551714230004066,53.27421117756695,56.35240975170137,58.763691908753465,62.44763937938036,61.528686821283195,62.7877869462019,62.0029441962723,62.87154915878682,62.22690858592868,61.67191578229646,57.51245099903255,55.365931457854224,51.16860086640392,[s],[s],unknown
Police can be relied upon when needed,46.73288859027661,46.795298686003115,48.4047804801317,47.71662100120971,50.13955261196465,54.11118534888547,58.58685373487147,58.775603405064544,60.719279726424645,60.902513770083,60.89485774333101,61.30892725221799,61.537946562983635,58.109944051352024,58.40483275494306,52.644297243616656,[s],[s],unknown
Police would treat you with respect,82.18691508607283,82.68899769516325,83.27362994894571,83.76360645266872,84.15813348127067,85.04564042514488,85.93214907392615,85.71981966943423,85.79049426126699,85.9081079012374,87.06454297645327,86.98351616634099,87.9454246781527,87.65266039033665,87.19827365543806,80.69309462653985,[s],[s],unknown
Police would treat you fairly,62.853916785916,61.63873140012197,63.6518891075725,64.94080297759788,65.31222129356696,66.90158226904549,66.66817056052675,64.74442439534168,65.64711922444408,65.83442172820914,67.33323862945015,67.86521159925994,68.39135658506301,67.00967753813433,66.7163585266599,58.88143857832596,[s],[s],unknown
Police can be relied upon to deal with minor crimes [note 6],41.81582377963475,41.28268845156186,42.907140030032195,45.73859353763567,47.71763493358504,49.9102466635552,[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],unknown
Police understand local concerns,60.09512789737344,60.355296613518775,62.35827792689377,65.50239163557048,66.7587777256674,67.33013023011546,72.50570396679416,70.93684406330635,71.83126207989262,70.47276610520545,71.41771983853855,70.34088720019362,69.5597781174436,67.33267445886207,66.06224802632892,58.30747500140778,[s],[s],unknown
Police deal with local concerns,48.820199296885,48.54077747731538,51.06621194987664,53.686097093347385,55.592224556376266,57.73795296578257,62.084282467651356,60.596260878568344,62.42822476134269,61.5856105419735,61.68216926043263,60.63550825531506,59.348639446388354,55.470697819871596,52.96395871466888,47.350846624870826,[s],[s],unknown
Police in this area can be trusted,[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],80.00501396283813,79.92060819514944,81.1248350329532,80.00340263653175,80.26064977031602,71.29385109284736,[z],[s],unknown
Overall confidence in local police [note 7],63.09468995793118,63.95504296668775,65.21086668692017,66.8710830976965,68.95915176805579,71.94178146464516,75.13443624423941,74.5050454679407,75.97315378760896,75.75789676335289,78.72507403523846,78.3178399691019,78.36590991782599,75.31360796447369,74.15309112922726,67.67463373140589,[s],[s],unknown
Unweighted base - number of people aged 16 and over [note 8],47431,46855,46627,45960,44293,46467,45496,34463,34826,32832,34471,34767,34293,33704,33362,30871,,,unknown
