"table s5:  perceptions of the local police by personal characteristics, year ending march 2019 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,age_band
England and Wales,,,,,,,,Adults aged 16 and over,unknown
,Police can be relied on when needed,Police would treat you with respect,Police would treat you fairly,Police understand local concerns,Police deal with local concerns,Police in this area can be trusted,Overall confidence in local police,Unweighted base - number of adults2,unknown
,Percentage saying they 'strongly agree' or 'tend to agree',,,,,,,,unknown
ALL ADULTS,58.109944051352024,87.65266039033665,67.00967753813433,67.33267445886207,55.470697819871596,80.00340263653175,75.31360796447369,33704,unknown
Age,,,,,,,,,unknown
16-24,68.35875193947385,87.14759506435229,65.81797555653449,66.17203868714682,58.33547415825202,81.29240182756993,77.24953579912996,2154,unknown
25-34,65.5105725254833,86.1667470976193,68.83715102407153,67.43640583637016,57.6864960769994,80.13701005724161,77.18431774288626,4994,unknown
35-44,61.71376895326547,87.7905899370554,69.40489208246422,68.52757853041584,56.20073466836565,79.90233198064757,75.96123466446177,5495,unknown
45-54,54.0415370930897,86.87572465409242,66.04825088119036,65.52673929330332,51.510421543394855,77.82250215941467,72.43806803905895,5727,unknown
55-64,50.165389826655485,87.48182296938253,64.3652102487261,66.62521095474615,51.48939417684727,78.44737056825886,72.53767965634982,5488,unknown
65-74,47.9343418160682,87.97250304993861,65.05816539499534,67.09296906487052,53.68750726273686,79.70345283705336,73.12065888688468,5353,unknown
75+,57.84810853128768,91.892654237675,69.74199845330064,71.45727309474617,62.154595025826154,84.83334722556569,80.527267542651,4493,unknown
Men,56.236460151654974,86.20554075448965,67.45986506618922,65.45737911830636,53.72868193804978,79.62329749906885,73.99404724972277,15496,unknown
16-24,68.21764997738238,86.02661720987082,66.49852755478425,64.82395819554235,57.623891641780865,80.84348735400438,75.63897210939977,1010,unknown
25-34,62.554961849276545,84.015667502302,67.79897349981475,64.8854031474049,55.31954427470354,79.16609448989365,75.98793802232917,2176,unknown
35-44,60.66534476018619,86.61389300001285,70.58599886917617,67.03008273525141,55.83114967656107,80.04947186758687,75.66972667327482,2397,unknown
45-54,51.710030735935376,85.9568660080809,67.48577141258055,63.59715782457664,49.78119423702384,78.64396559782334,71.49007184029219,2692,unknown
55-64,49.134593591121394,86.78353429363001,65.31443049991981,65.37677286281036,49.4134326668559,78.65125530090216,71.70561977678919,2637,unknown
65-74,44.730908136411564,86.18377808687305,65.82205033837586,64.26371201529913,51.66962662733021,78.37295745093773,70.51365476884935,2543,unknown
75+,53.99148200852343,89.64224257152718,68.46509960260371,70.2911763662529,58.82297918713508,83.21546280648867,78.13505392055217,2041,unknown
Women,59.91624309718486,89.04680682089831,66.5709940427375,69.15212957352648,57.16669870404228,80.37153114429154,76.58645791967975,18208,unknown
16-24,68.50677992573821,88.33402335848864,65.09997872365865,67.58275433017548,59.07461170830334,81.76505257736927,78.94313434957718,1144,unknown
