table a7: reasons for not reporting incidents of crime to the police,unnamed: 1,age_band
"England and Wales, year ending March 2025",,unknown
This worksheet contains one table. The units in this table are responses in percentages of reasons for not reporting incidents of crime. Some cells refer to notes which can be found on the Notes worksheet.,,unknown
Link to Notes page,,unknown
Link to Table of contents,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,unknown
Reason for not reporting ,"All CSEW crime [note 14, 15]",unknown
Police could not do anything,28.29959582392879,unknown
Too trivial/not worth reporting,28.2943184574933,unknown
Police would not have been bothered/interested,21.63630378268983,unknown
Private matter/dealt with matter themselves,19.04977928269971,unknown
Inconvenient to report,11.07796503962314,unknown
"Reported to other authorities (e.g. superiors, company security)",7.560123431279546,unknown
No loss/damage,6.944904634657699,unknown
Attempt at offence unsuccessful,3.647684521004321,unknown
Lack of trust in the police,3.510342984586562,unknown
Dislike or fear of the police/previous bad experience with the police or courts,2.90714447790756,unknown
Common occurrence/just something that happens,2.547440112859355,unknown
Offender not responsible for actions,2.514340441923836,unknown
Partly own/family member/friends fault,2.314537235580796,unknown
Happened as part of job,2.060883044337381,unknown
Fear of reprisal,1.502974978782641,unknown
Thought someone else had already reported incident/similar incidents,1.362959839348872,unknown
"Tried to report, but unable to contact police/police not interested",0.3220217839729837,unknown
Other,2.349291925878269,unknown
Unweighted base - number of incidents,2194,unknown
