"table s1: trends in ratings of the local police, people aged 16 and over, year ending march 2004 to year ending march 2024 [note 1][note 2][note 3]",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,unnamed: 19,unnamed: 20,unnamed: 21,age_band
England and Wales,,,,,,,,,,,,,,,,,,,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units in this table are percentages.,,,,,,,,,,,,,,,,,,,,,,unknown
Link to Notes ,,,,,,,,,,,,,,,,,,,,,,unknown
Some shorthand is used in this table. [s] denotes there is a statistically significant change at the 5% level.,,,,,,,,,,,,,,,,,,,,,,unknown
Link to Table of contents,,,,,,,,,,,,,,,,,,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,,,,,,,,,,,,,,,,unknown
Trends in ratings,Apr 2003 to Mar 2004,Apr 2004 to Mar 2005,Apr 2005 to Mar 2006,Apr 2006 to Mar 2007,Apr 2007 to Mar 2008 ,Apr 2008 to Mar 2009,Apr 2009 to Mar 2010,Apr 2010 to Mar 2011 ,"Apr 2011 to
 Mar 2012
[note 1, 2, 3]","Apr 2012 to
 Mar 2013
[note 2, 3]","Apr 2013 to
 Mar 2014
[note 2, 3]","Apr 2014 to
 Mar 2015 
[note 2, 3]","Apr 2015 to
 Mar 2016
[note 2, 3]","Apr 2016 to
 Mar 2017
[note 2, 3]","Apr 2017 to
 Mar 2018
[note 2, 3]",Apr 2018 to Mar 2019,Apr 2019 to Mar 2020,Apr 2022 to Mar 2023,Apr 2023 to Mar 2024,Apr 2023 to Mar 2024 compared with Apr 2013 to Mar 2014,Apr 2023 to Mar 2024 compared with Apr 2022 to Mar 2023,unknown
Excellent,6.001620864675771,6.465095060416781,6.971133603386241,6.688247645176238,7.3434546938703456,7.427708582915167,8.272962491884044,8.69128693179448,10.374777772216524,9.642791005290018,10.009605226472868,10.246325910459964,10.982554592904687,10.762733903291084,11.033115881193917,10.418924633957714,9.764098180777703,7.88816497041992,7.017513670913213,[s],[s],unknown
Good,41.36007992491837,42.074793058134496,43.40328028878892,44.458523435850495,45.20825953613372,45.84650259465178,48.07944725981733,50.072404976958985,52.0728616071637,51.885895815993564,52.7781817197289,51.756618285812465,51.88899456588217,51.464174682637584,50.63879990110269,47.09352636507482,45.601833277076565,43.28043589598387,41.81398011727757,[s],[s],unknown
Fair,34.42931535646292,35.04636105464409,34.8406882464493,34.25220816811732,34.257167003210476,35.15261690342106,33.568762791842246,32.24604904755877,29.6356168219097,30.152294052607925,29.14231733991136,29.877933992695915,29.625489755580492,29.093469649595715,28.667745485884282,30.78978581042286,32.78122506483965,35.440878655011915,36.52591536236669,[s],[s],unknown
Poor,13.677735161698862,12.378902181319534,11.230189847556991,11.10390653581211,9.857376064563386,8.849888037968737,7.638549004135612,6.9298229325187455,6.0859693047197325,6.168278573021616,6.131235352485783,6.300983642563077,5.7535495778944785,6.543783882065135,7.367649065620287,8.907032916893773,8.935949012714515,10.163209377085975,10.925337324608467,[s],[s],unknown
Very poor,4.531248692244176,4.034848645484806,3.554708013819191,3.497114215045064,3.333742702221556,2.723283881043049,2.4402784523192897,2.0604361111685465,1.8307744939890462,2.1507405530866732,1.938660361400844,1.8181381684681408,1.7494115077388068,2.1358378824090014,2.292689666198826,2.7907302736517656,2.9168944645927466,3.227311101497589,3.71725352483319,[s],[s],unknown
Unweighted base - number of people aged 16 and over,34862,43970,46672,45985,45782,45323,43686,45675,44647,33658,33981,31890,33317,33450,32985,32154,31790,29334,28896,,,unknown
