"table s28: worry about crime by personal characteristics, people aged 16 and over, year ending march 2024",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,age_band
England and Wales,,,,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units in this table are percentages.,,,,,,,unknown
Link to Notes,,,,,,,unknown
Some shorthand is used in this table. [u] denotes that data are not reported because the unweighted base is fewer than 50.,,,,,,,unknown
Link to Table of contents ,,,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,unknown
Personal characteristics [note 1],Personal characteristics breakdown,Percentage with high level of worry about burglary,Percentage with high level of worry about car crime,Percentage with high level of worry about fraud [note 2],Percentage with high level of worry about violent crime,Unweighted base - number of people aged 16 and over [note 3],unknown
All people,All people,7.364805307639667,6.255133540220776,16.122118442451946,7.562797501066175,7752,unknown
All people,16-24,6.550368996038087,3.116091204366669,6.801016679518218,6.2826311566417745,422,unknown
All people,25-34,7.717989303478631,7.316133308810441,9.563355672113119,8.213634287411773,1098,unknown
All people,35-44,7.119793775723855,9.458574911340818,15.136520191883045,8.906780692270027,1224,unknown
All people,45-54,8.859603033791327,6.597924090627158,16.92963813424849,9.513942958137104,1113,unknown
All people,55-64,6.892584657762367,7.3307017227891835,22.836988108467583,6.509500198439057,1323,unknown
All people,65-74,7.949110725513078,4.358287639712876,24.285170152982882,7.101240830410043,1334,unknown
All people,75+,5.997807177061469,3.5230361110983024,17.59232359848001,5.15889092767755,1238,unknown
Men,Men,6.1652641938799295,5.6444312838977995,12.969521714964163,3.7886467397534553,3592,unknown
Men,16-24,4.670765653553017,2.501204671770048,4.759405340137403,1.1711292779505103,197,unknown
Men,25-34,6.516811805441636,7.586898013457515,7.757027203849963,3.811893768153416,510,unknown
Men,35-44,4.9912213816121875,9.792419634251713,13.311344235170083,6.393337776789505,536,unknown
Men,45-54,8.65453437423169,3.9154629457824566,13.44056556723566,5.174426897112776,516,unknown
Men,55-64,6.8762793649135565,7.598036011994084,18.400608199618922,3.243234471776499,641,unknown
Men,65-74,5.151553407269102,2.942468411176081,21.1257283344826,3.0893656507270184,624,unknown
Men,75+,5.21605677278733,3.204825136975795,12.633440287684255,2.234581901201236,568,unknown
Women,Women,8.502198321286793,6.858877158975478,19.302253462015926,11.306014521776664,4160,unknown
Women,16-24,8.236853227700323,3.83010108522859,8.97418167216853,11.725749535563645,225,unknown
Women,25-34,9.072451889689578,7.045895947174769,11.599749870103718,13.063826915954746,588,unknown
Women,35-44,9.116695911675079,9.130218020031192,16.971915577388785,11.381032055905552,688,unknown
Women,45-54,9.059119625655597,8.990229290596494,20.64523413899969,13.962098025749661,597,unknown
Women,55-64,6.908189338928317,7.06617654690915,27.20781011853085,9.65264219533018,682,unknown
Women,65-74,10.305379984175936,5.7108286393868735,27.35229852814156,10.894072314760479,710,unknown
Women,75+,6.662645873446555,3.8402894984441978,21.594512536138904,7.5799069609442435,670,unknown
Ethnic group,White ,6.218845706919746,4.966999630797595,15.579288514323894,5.448219474147665,6579,unknown
Ethnic group,English/Welsh/Scottish/Northern Irish/British ,6.10299584744918,4.569278329778508,15.781976413326385,5.183739377787352,6010,unknown
Ethnic group,Irish ,4.230892440515169,4.095642227976653,10.788319315259349,1.9661523799219742,67,unknown
Ethnic group,Gypsy or Irish Traveller,[u],[u],[u],[u],1,unknown
Ethnic group,Any other White background,7.605133657399889,9.983721605150103,13.626684383524818,8.270384946050363,501,unknown
Ethnic group,Mixed/Multiple,8.84064885662626,5.583568717709831,14.38074862202591,11.34280745247941,101,unknown
Ethnic group,White and Black Caribbean ,[u],[u],[u],[u],36,unknown
Ethnic group,White and Black African ,[u],[u],[u],[u],15,unknown
Ethnic group,White and Asian ,[u],[u],[u],[u],26,unknown
Ethnic group,Any other Mixed/Multiple ethnic background ,[u],[u],[u],[u],24,unknown
Ethnic group,Asian/Asian British,14.256348032339783,13.440977583975236,17.58578632156291,16.72577886293894,611,unknown
Ethnic group,Indian ,15.438706706618415,18.93179557435089,22.36853099808117,22.014008403065066,245,unknown
Ethnic group,Pakistani ,7.815278845986194,7.920386831753406,20.70722097889508,9.473882111469736,132,unknown
Ethnic group,Bangladeshi ,[u],[u],[u],[u],47,unknown
Ethnic group,Chinese ,8.663842693218193,8.79073239163857,5.380068817406178,3.4754212498823933,72,unknown
Ethnic group,Any other Asian background ,24.10041696830617,11.570579289221717,13.736954856713485,20.098341509215587,115,unknown
Ethnic group,Black/African/Caribbean/Black British,11.34017414564148,15.03606194556178,23.15037894702132,20.00984028011419,320,unknown
Ethnic group,African ,11.627431989077461,15.03606194556178,21.443686888277874,23.12655409437234,215,unknown
Ethnic group,Caribbean ,11.19924379215553,9.945464328720801,23.953314978894124,12.763085295103899,88,unknown
Ethnic group,Any other Black/African/Caribbean background,[u],[u],[u],[u],17,unknown
Ethnic group,Other ethnic group,9.265805364571522,24.570702500651585,16.746017762724314,16.83042128440312,102,unknown
Ethnic group,Arab ,[u],[u],[u],[u],26,unknown
Ethnic group,Any other ethnic group ,10.461261170540823,31.499364509850675,17.347523199888496,20.86182173982544,76,unknown
Country of birth,Born in the UK,6.28004702093057,4.798464699712211,15.467678658937231,5.530120765717636,6249,unknown
Country of birth,Not born in the UK,11.49784582718863,13.328227273122078,18.537538031438956,15.152156437942196,1469,unknown
Marital status,Married/civil partnered,7.655827031498657,7.114134909504327,17.041885988468934,7.318136887853168,3365,unknown
Marital status,Cohabiting,4.438823769643871,7.255108057487971,16.444915785743273,5.664791908139801,699,unknown
Marital status,Single,7.232071590699555,4.455587200823054,11.968946668799415,8.132252270939434,2004,unknown
Marital status,Separated,11.722984899455763,4.524160626731859,26.671963886811074,16.172078943742267,203,unknown
Marital status,Divorced/legally dissolved partnership,8.1788323796029,4.263512036542885,20.002839853895686,9.257696423521939,644,unknown
Marital status,Widowed,9.08580128082828,3.990154293748277,20.974610773147997,7.388206256572929,769,unknown
Respondent's employment status,In employment,6.549177060854075,6.6356299853353455,14.068313679795235,6.881425606599658,4276,unknown
Respondent's employment status,Unemployed,13.762196755583956,3.8233663668701143,19.87733338186349,7.693634621676483,94,unknown
Respondent's employment status,Economically inactive,8.509428639868839,5.588232381969523,19.521296793880765,8.783620750254856,3346,unknown
Respondent's employment status,Student,6.692287214022122,3.638566452891994,5.787268841764664,7.8035066462164275,146,unknown
Respondent's employment status,Looking after family/home,11.04940618195274,9.123361415598303,17.45914524678496,19.66218941602485,296,unknown
Respondent's employment status,Long-term/temporarily sick/ill,15.880188640037506,10.211866623970504,27.007909585303892,15.825005545387372,413,unknown
Respondent's employment status,Retired,7.271107462578051,4.319358948556452,21.792370783132295,6.002888637791776,2366,unknown
Respondent's employment status,Other inactive,5.1659114050043735,15.847865775142564,9.062786948235598,5.515344302782188,125,unknown
Respondent's occupation,Managerial and professional occupations,5.501650982794297,4.918231480063973,13.857999908350592,5.1986230254178825,2916,unknown
Respondent's occupation,Intermediate occupations,7.110240360307875,6.863715500184327,18.902025319576172,6.333172884643423,1680,unknown
Respondent's occupation,Routine and manual occupations,9.67030533273593,7.739337742261647,18.885481814969392,10.18517689762668,2448,unknown
Respondent's occupation,Never worked and long-term unemployed,8.60274303698018,11.259035821264188,18.35533729421572,17.83964016602883,318,unknown
Respondent's occupation,Full-time students,8.19621648999291,4.266095701776239,7.035617989687822,7.836497136993949,220,unknown
Respondent's occupation,Not classified,7.01944662470258,9.38154410703975,14.73092243415414,6.949006833238987,168,unknown
Respondent's highest qualification,,9.70069163477747,8.235823887683905,17.026304636174512,10.295742974596687,1380,unknown
Respondent's highest qualification,O level/GCSE,8.515167930312039,5.66218376393654,16.530408652481523,7.268354690647959,1218,unknown
Respondent's highest qualification,Apprenticeship or A/AS level,6.27048545717894,5.633564737829071,16.046394153693488,6.300100124799133,1228,unknown
Respondent's highest qualification,Degree or diploma,6.599912600705625,5.635822016233258,15.311206359355422,7.013099371801674,3488,unknown
Respondent's highest qualification,Other,8.1943787154203,12.429447528985134,21.357561931038244,10.476341555597946,349,unknown
Disability [note 3],Disabled,11.63631131391684,5.622987879593647,22.62864295668886,9.377072451087495,1774,unknown
Disability [note 3],Not disabled,6.3938162208724725,6.36295926237866,14.57268511340363,7.122251928020944,5923,unknown
Religion,No religion,5.62546523877174,5.045687613157535,11.329990786231127,4.4173042633129205,3144,unknown
Religion,Christian,8.14820548925008,5.826230123640706,20.085862404819817,8.403085897372442,3888,unknown
Religion,Buddhist,[u],[u],[u],[u],49,unknown
Religion,Hindu,14.686178036079028,17.329546393501584,21.21534588610759,23.726351189252295,138,unknown
Religion,Jewish,[u],[u],[u],[u],33,unknown
Religion,Muslim,8.113717880974738,14.375180853544666,16.175319050599818,15.07657827545705,347,unknown
Religion,Sikh,[u],[u],[u],[u],47,unknown
Religion,Other,[u],[u],[u],[u],46,unknown
Sexual orientation [note 4],Heterosexual/straight,7.2225192051191645,5.896639102408203,16.373928835264785,7.158263823921679,6276,unknown
Sexual orientation [note 4],Gay/Lesbian,10.449527814409725,4.599363759829496,10.940985352533444,2.3635046612114716,118,unknown
Sexual orientation [note 4],Bisexual,3.7788089545315864,2.186369242070991,6.249859388993306,10.100164551335821,161,unknown
Sexual orientation [note 4],Other,[u],[u],[u],[u],42,unknown
Gender identity [note 5],Same as the sex registered at birth,6.93489217718301,5.621839004781575,15.993702202545265,7.293040093495209,6074,unknown
Gender identity [note 5],Not the same as the sex registered at birth ,[u],[u],[u],[u],36,unknown
Experience of crime in last 12 months (including fraud and computer misuse),Victim,13.60163705673002,11.58637664945986,23.33825863720093,11.177353518688523,1269,unknown
Experience of crime in last 12 months (including fraud and computer misuse),Not a victim,6.10096658327602,5.103967005801383,14.789425035915842,6.888777149636188,6483,unknown
Hours out of home on an average weekday,Less than 3 hours,8.438106358743635,5.3373934284093965,18.06704221565679,7.615771248729686,3266,unknown
Hours out of home on an average weekday,3 hours or more but less than 7 hours,5.507337219288062,6.229445235183088,16.549063807782026,7.316125062395031,2152,unknown
Hours out of home on an average weekday,7 hours or longer,7.72238487778287,7.145092591458141,13.733779557655316,7.563604143942775,2300,unknown
Number of evening visits to pub/bar in the last month,,9.142148781825576,7.807659846592352,18.953154222455122,10.239066643593977,4552,unknown
Number of evening visits to pub/bar in the last month,Less than once a week ,6.308227396279527,4.941185566628701,13.116490762473527,4.463962356630133,2197,unknown
Number of evening visits to pub/bar in the last month,Once a week or more often,2.7325913124226195,3.599259342113873,11.58138724270415,3.7582496474083675,996,unknown
Number of visits to a nightclub in the last month,,7.471125773252537,6.3972944133700205,16.592530933951206,7.566188009103375,7471,unknown
Number of visits to a nightclub in the last month,1-3 times a month,4.24518208392379,3.0948310552589597,6.034566141419668,6.821033752893616,240,unknown
Number of visits to a nightclub in the last month,4+ times a month,[u],[u],[u],[u],34,unknown
