"table c7: the types of anti-social behaviour (asb) experienced/witnessed and satisfaction with the response by the organisation it was reported to,",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,age_band
"England and Wales, year ending March 2025",,,,,unknown
This worksheet contains one table. The units in this table are percentage. Some cells refer to notes which can be found on the notes worksheet. ,,,,,unknown
Shorthand is used in this table. [c] indicates that the data has been suppressed due to disclosure constraints. [x] denotes that data are not available. [u] indicates the percentage is not reported because the base number of people aged 16 and over is less than 50.,,,,,unknown
Link to Notes page,,,,,unknown
Link to Table of contents,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,unknown
Type of ASB experienced/witnessed [note 1],Satisfied with police response  ,Satisfied with council response ,Satisfied with housing association/private landlord response,Satisfied with  other response ,unknown
"People being intimidated, verbally abused or harassed",58.97714788870564,39.68857292632514,35.04429527762764,[u],unknown
Drink related behaviour,58.88492519435909,44.46110169955441,34.57045048249148,[u],unknown
"Vandalism, criminal damage or graffiti",51.9597976217265,36.67155193994335,76.34141491972211,[u],unknown
Groups hanging around on the streets,51.0250490297418,24.49235188232065,39.18348482044253,[u],unknown
Loud music or other noise,50.95001235590644,42.93091007288893,39.58556790572373,[u],unknown
People committing inappropriate or indecent sexual acts in public,50.10460522264465,[x],[x],[u],unknown
Inconsiderate behaviour [note 2],49.81443093494372,34.85722120500176,29.86527358518829,[u],unknown
Problem of out of control or dangerous dogs,46.48919110731879,40.68579275688462,[x],[u],unknown
Nuisance neighbours,45.98964999524319,29.70663260795579,32.86162976872586,[u],unknown
Vehicle related behaviour [note 3],38.15187594375586,26.20090401850439,34.80308832736975,[u],unknown
"Begging, vagrancy and homeless people",36.47539931071842,53.37982436233712,[c],[u],unknown
"Litter, rubbish or dog-fouling",34.73972971550907,50.00483973725351,29.71274610845058,[u],unknown
People using or dealing drugs,33.16329269626168,22.7466640594176,35.25194022578015,[u],unknown
Unweighted base - number of people aged 16 and over [note 4] ,259,115,56,19,unknown
