"table s38b: percentage of people aged 16 and over who were stopped and searched, on foot, by the police in the last 12 months and the reason why,",unnamed: 1,unnamed: 2,age_band
"England and Wales, year ending March 2024",,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units in this table are percentages.,,,unknown
Link to notes ,,,unknown
Link to table of contents,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,unknown
Stop and search,Stop and search breakdowns,On foot,unknown
Stopped by police in the last 12 months,Yes,1.3486711876688902,unknown
Stopped by police in the last 12 months,No,98.6513288123311,unknown
Unweighted base - number of people aged 16 and over,Unweighted base - number of people aged 16 and over,30354,unknown
Did the police give a reason for the stop on foot [note 1],Yes,83.40738180526716,unknown
Did the police give a reason for the stop on foot [note 1],No,16.592618194732793,unknown
Unweighted base - number of people aged 16 and over,Unweighted base - number of people aged 16 and over,304,unknown
Reasons police gave for the stop on foot [note 1],Police had received information (tip-off) about an offence,2.2191660895592777,unknown
Reasons police gave for the stop on foot [note 1],Matched suspect description for a crime,9.541443423587648,unknown
Reasons police gave for the stop on foot [note 1],Respondent seen in vicinity of a crime,1.7647876414290806,unknown
Reasons police gave for the stop on foot [note 1],To ask whether respondent had witnessed anything,26.439822342340317,unknown
Reasons police gave for the stop on foot [note 1],Said respondent looked suspicious / was acting suspiciously,5.569347350448711,unknown
Reasons police gave for the stop on foot [note 1],Said respondent was acting disorderly / was drunk and disorderly / making a nuisance,0.4101461526066972,unknown
Reasons police gave for the stop on foot [note 1],Suspicion of drug-related offences,9.740177380708646,unknown
Reasons police gave for the stop on foot [note 1],For your own protection or to take care of you,8.147411429896774,unknown
Reasons police gave for the stop on foot [note 1],Just making general enquiries / asking for information / asking for directions,24.943783047016595,unknown
Reasons police gave for the stop on foot [note 1],Some other offence,6.933334603640814,unknown
Reasons police gave for the stop on foot [note 1],Some other matter than offence,4.290580538765452,unknown
Unweighted base - number of people aged 16 and over,Unweighted base - number of people aged 16 and over,259,unknown
Proportion stopped that were then searched by police [note 1],Yes,24.898838593360807,unknown
Proportion stopped that were then searched by police [note 1],No,75.10116140663912,unknown
Unweighted base - number of people aged 16 and over,Unweighted base - number of people aged 16 and over,306,unknown
"Offered a written record or receipt when stopped, or told it was available",Yes,13.33523551158744,unknown
"Offered a written record or receipt when stopped, or told it was available",No,86.6647644884125,unknown
Unweighted base - number of people aged 16 and over,Unweighted base - number of people aged 16 and over,305,unknown
Police threaten or use force against you or anyone with you [note 3],Yes – used force ,4.118225385348433,unknown
Police threaten or use force against you or anyone with you [note 3],Yes – threatened force ,2.7891816569119023,unknown
Police threaten or use force against you or anyone with you [note 3],No,93.09259295773961,unknown
