"table s38a: percentage of people aged 16 and over who were stopped and searched, in a vehicle, by the police in the last 12 months and the reason why,",unnamed: 1,unnamed: 2,age_band
"England and Wales, year ending March 2024",,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units in this table are percentages.,,,unknown
Link to notes ,,,unknown
Link to table of contents,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,unknown
Stop and search,Stop and search breakdowns, In a vehicle,unknown
Stopped by police in the last 12 months,Yes,2.6428910506513517,unknown
Stopped by police in the last 12 months,No,97.35710894934849,unknown
Unweighted base - number of people aged 16 and over,Unweighted base - number of people aged 16 and over,30360,unknown
Did the police give a reason for the stop of a vehicle [note 1],Yes,90.36160670583074,unknown
Did the police give a reason for the stop of a vehicle [note 1],No,9.638393294169255,unknown
Unweighted base - number of people aged 16 and over,Unweighted base - number of people aged 16 and over,688,unknown
Reasons police gave for the stop of a vehicle [note 1],To check driving documents or insurance details,20.90207275848133,unknown
Reasons police gave for the stop of a vehicle [note 1],To check the condition of the vehicle,4.465076059761601,unknown
Reasons police gave for the stop of a vehicle [note 1],"To alert the driver to a defect with the vehicle (e.g. worn tyres, brake light not working)",12.418568487362249,unknown
Reasons police gave for the stop of a vehicle [note 1],"To deal with a driving offence (e.g. speeding, not wearing a seat belt, using a mobile phone, drink-driving)",37.18474921931848,unknown
Reasons police gave for the stop of a vehicle [note 1],The police had received information (tip-off) that an offence had been committed,3.4895240278211643,unknown
Reasons police gave for the stop of a vehicle [note 1],Driver or passengers matched the description of a crime suspect,2.5396782288579773,unknown
Reasons police gave for the stop of a vehicle [note 1],Vehicle was in the vicinity of a crime,2.3849576760037516,unknown
Reasons police gave for the stop of a vehicle [note 1],Suspicion that there were drugs in the vehicle ,2.205743527342988,unknown
Reasons police gave for the stop of a vehicle [note 1],Some other offence,4.290293655636809,unknown
Reasons police gave for the stop of a vehicle [note 1],Some other matter not related to any offence ,10.11933635941347,unknown
Unweighted base - number of people aged 16 and over,Unweighted base - number of people aged 16 and over,623,unknown
Proportion stopped that were then searched by police [note 1],Yes,8.1782929677921,unknown
Proportion stopped that were then searched by police [note 1],No,91.82170703220788,unknown
Unweighted base - number of people aged 16 and over,Unweighted base - number of people aged 16 and over,690,unknown
"Offered a written record or receipt when stopped, or told it was available",Yes,31.424177488957618,unknown
"Offered a written record or receipt when stopped, or told it was available",No,68.57582251104239,unknown
Unweighted base - number of people aged 16 and over [note 2],Unweighted base - number of people aged 16 and over,48,unknown
Police threaten or use force against you or anyone with you [note 3],Yes – used force ,0.6354544710979423,unknown
Police threaten or use force against you or anyone with you [note 3],Yes – threatened force ,1.4659123547035113,unknown
Police threaten or use force against you or anyone with you [note 3],No,97.89863317419854,unknown
Unweighted base - number of people aged 16 and over,Unweighted base - number of people aged 16 and over,689,unknown
