"table a11b: prevalence of sexual assault and stalking in the last year among women aged 16 to 59 years, by type [note 1, 2, 10]",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,unnamed: 19,unnamed: 20,unnamed: 21,age_band
"England and Wales, year ending March 2005 to year ending March 2025",,,,,,,,,,,,,,,,,,,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units used in this table are percentages.,,,,,,,,,,,,,,,,,,,,,,unknown
Link to Notes,,,,,,,,,,,,,,,,,,,,,,unknown
Some shorthand is used in this table. [x] denotes that data are unavailable.[z] denotes not applicable. [c] denotes that figures have been suppressed due to disclosure constraints.,,,,,,,,,,,,,,,,,,,,,,unknown
[s] denotes there is a statistically significant change at the 5% level. [ns] denotes a non significant statistical change at the 5% level.,,,,,,,,,,,,,,,,,,,,,,unknown
Link to Table of contents,,,,,,,,,,,,,,,,,,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,,,,,,,,,,,,,,,,unknown
Abuse type,"Apr 2004 to 
Mar 2005
[note 11]","Apr 2005 to 
Mar 2006","Apr 2006 to 
Mar 2007","Apr 2007 to 
Mar 2008","Apr 2008 to 
Mar 2009","Apr 2009 to 
Mar 2010","Apr 2010 to 
Mar 2011
[note 12]","Apr 2011 to 
Mar 2012
[note 12]","Apr 2012 to 
Mar 2013
[note 12]","Apr 2013 to 
Mar 2014","Apr 2014 to 
Mar 2015","Apr 2015 to 
Mar 2016","Apr 2016 to 
Mar 2017","Apr 2017 to 
Mar 2018
[note 11][note 13]","Apr 2018 to 
Mar 2019
[note 13]","Apr 2019 to 
Mar 2020
[note 14]","Oct 2021 to 
Mar 2022
[note 8][note 14]","Apr 2022 to 
Mar 2023
[note 9]","Apr 2023 to 
Mar 2024
[note 4]","Apr 2024 to 
Mar 2025
[note 4]",Apr 2024 to Mar 2025 compared with Apr 2023 to Mar 2024,unknown
Any sexual assault (including attempts but excluding causing sexual activity without consent) [note 15][note 16],4.190962312249793,5.017764240346177,4.7937951786838475,4.455497883566788,3.7315378054756447,3.3545981739914437,3.819980968213631,4.189778666523314,3.018017242970581,2.229990723518826,2.70676542756478,3.229865030839238,3.079419028781737,4.222980180484625,4.451151543154411,3.5107148739470944,3.8809418149519077,4.19318342999319,4.30581852305191,3.76608559204659,[ns],unknown
Any sexual assault (including attempts) [note 15][note 16],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],3.2465499734073875,3.101322874283969,4.24715071229427,4.4746549459368135,[x],[x],[x],[x],[x],[x],unknown
Sexual assault by rape or penetration including attempts,0.9979313230739773,1.3477414285363811,1.1517852929934107,1.2331254842177914,1.007747798905497,0.8492419520932815,1.2196259008454762,1.2725244952606696,0.99524676159148,0.7052737039066505,0.6775351702560678,0.7159421917137501,0.868450676632067,0.8990640952356702,1.0922968773285648,0.9838565931019178,1.208161299554294,1.10453949167429,0.757342913391738,0.421796291494144,[ns],unknown
