"table c5: how often anti-social behaviour (asb) was experienced or witnessed in the local area, people aged 16 and over",unnamed: 1,age_band
"England and Wales, year ending March 2025 [note 1]",,unknown
This worksheet contains one table. The units in this table are percentage. Some cells refer to notes which can be found on the notes worksheet. ,,unknown
Link to Notes page,,unknown
Link to Table of contents,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,unknown
Frequency of ASB experienced/witnessed,Estimate ,unknown
Every day/almost every day,12.42045044752128,unknown
At least once a week,23.90382213324744,unknown
At least once a fortnight,9.95612798712735,unknown
At least once a month,16.65277117356886,unknown
A few times in the last 12 months,29.04491380325311,unknown
Once in the last 12 months,8.021914455281953,unknown
Unweighted base - number of people aged 16 and over,11488,unknown
