"table a5: proportion of incidents experienced by repeat victims aged 16 and over, statistical significance of change year ending march 2025 compared to selected years",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,unnamed: 19,unnamed: 20,unnamed: 21,unnamed: 22,unnamed: 23,unnamed: 24,unnamed: 25,unnamed: 26,unnamed: 27,unnamed: 28,unnamed: 29,age_band
"England and Wales, year ending December 1981 to year ending March 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
This worksheet contains one table. The units in this table are percentage of incidents experienced by repeat victims. Some cells refer to notes which can be found on the Notes worksheet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Link to Notes page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
"Some shorthand is used in this table. [x] indicates that data are not available, [u] indicates that data are not reported because the unweighted base is fewer than 50 and [s] indicates that the change is statistically significant at the 5% level",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Link to Table of contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Offence group [note 1] [note 9],Jan 1981 to Dec 1981,Jan 1991 to Dec 1991,"Jan 1995 to Dec 1995 
[note 10]","Jan 1997 to Dec 1997 
[note 10]",Apr 2001 to Mar 2002,"Apr 2002 to Mar 2003
 [note 10]",Apr 2003 to Mar 2004 ,Apr 2004 to Mar 2005,Apr 2005 to Mar 2006,Apr 2006 to Mar 2007,Apr 2007 to Mar 2008,"Apr 2008 to Mar 2009
 [note 10]","Apr 2009 to Mar 2010
 [note 10]",Apr 2010 to Mar 2011,Apr 2011 to Mar 2012,Apr 2012 to Mar 2013,Apr 2013 to Mar 2014,Apr 2014 to Mar 2015,Apr 2015 to Mar 2016,"Apr 2016 to Mar 2017
 [note 10]","Apr 2017 to Mar 2018 
[note 10]",Apr 2018 to Mar 2019,Apr 2019 to Mar 2020,Apr 2022 to Mar 2023,Apr 2023 to Mar 2024,Apr 2024 to Mar 2025,"Unweighted base - number of incidents
(Apr 2024 to Mar 2025)","Apr 2024 to Mar 2025 compared with Apr 2014 to Mar 2015
significance",Apr 2024 to Mar 2025 compared with Apr 2023 to Mar 2024 significance,unknown
VIOLENCE [note 2],61.12412172030477,69.34518362727356,73.84826395903497,68.09576182096309,64.33890718303512,63.45664870657098,57.066303433462494,60.03442777620218,61.60880951215644,59.46303980723076,56.53856473767156,53.01366668254695,57.62092757410096,57.99824205224592,57.317202237760526,63.24735573158512,60.96949254607076,63.81137658,57.66841889,60.51483806,57.48252028,54.62529856,52.12483679,54.03621983,51.60432038596411,54.88250449530416,662,[s],,unknown
Violence with injury,53.99387288584027,63.82057541902471,69.28701683116253,67.13134329013286,62.32352005491396,59.518224091738695,50.17587101720166,56.74399960979793,56.76467583873328,52.09544638932696,50.10269875613736,48.0582725566047,51.431504109158375,56.165608782915264,52.16884820676625,61.90266674910049,47.00937412701526,62.14922135,46.57702605,60.63798735,50.29049969,54.84599861,45.8076591,46.08894083,51.44176743152294,52.9161081585023,255,[s],,unknown
Wounding,39.96932311481976,59.23925536815954,65.58978785912173,62.83755340539532,59.322554673133595,53.844007980722225,42.034120474603306,46.6992337790105,52.2347471078799,46.52531969092264,47.40889592987555,39.25894207917338,51.80180385568236,49.72095931071098,42.58147818983941,56.67990647923031,37.1395329744384,62.96261893,44.55503815,60.43563602,38.56639118,40.76479606,48.67731037,41.3721117,55.50872139611462,22.05587800786974,106,[s],[s],unknown
Assault with minor injury,61.636150159442636,62.30065747434356,68.09829596811139,65.213828328602,61.173159229840735,61.72455581282197,53.80527294110324,58.996890258448076,56.858145777656,48.71260342753795,49.03696169142868,50.568668760417395,45.19794361860408,56.44820695053072,58.80039309203274,64.57310579480901,53.11231929621398,58.58508496,44.94800294,58.31854525,54.07297805,65.0670256,37.14293795,47.49026941,45.21030345048037,57.13855576514728,149,,[s],unknown
Violence without injury,64.01925396046923,72.42123700079462,71.26522397553308,64.12810507760373,59.36275393224314,60.15091138810737,56.86183281947195,55.902914356724786,62.165087688165976,60.24119791976121,54.20021360776034,50.43014065218831,57.17154512574388,54.09199735836455,58.24498010871246,58.21941900968126,64.97250879565138,63.74507604,61.88412123,55.06862322,58.51335525,47.65480212,50.6971035,53.82133071,48.93033505034939,54.22192986877627,407,[s],[s],unknown
