"table c13: experiences of frequent anti-social behaviour (weekly or more), people aged 16 and over, year ending march 2025",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,age_band
England and Wales [note 1] [note 2],,,,,,unknown
This worksheet contains one table. The units in this table are percentage. Some cells refer to notes which can be found on the notes worksheet. ,,,,,,unknown
Link to Notes page,,,,,,unknown
Link to Table of contents,,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,unknown
Area code,Police force area,Estimate,"Confidence interval 
Lower bound 
[note 3]","Confidence interval 
Upper bound 
[note 3]",Unweighted base - number of people aged 16 and over,unknown
K04000001,England and Wales,12.861464849515933,12.239870259427475,13.483059439604391,31430,unknown
E23000013,Cleveland,26.574583396416113,20.48530815469892,32.663858638133306,605,unknown
E23000008,Durham,28.00820566924641,21.43732933837293,34.5790820001199,589,unknown
E23000007,Northumbria,21.749022656913457,14.34141721515185,29.156628098675064,685,unknown
E23000006,Cheshire,11.39077548791316,7.065066989448664,15.716483986377657,526,unknown
E23000002,Cumbria,8.041059730347458,5.133523582858039,10.948595877836876,563,unknown
E23000005,Greater Manchester,16.828000522548894,13.745175977209083,19.910825067888705,1477,unknown
E23000003,Lancashire,13.394907902623283,8.693005785677435,18.09681001956913,576,unknown
E23000004,Merseyside,7.295361818314518,5.056415523379647,9.53430811324939,876,unknown
E23000012,Humberside,11.981705424707897,8.329958012967172,15.633452836448622,717,unknown
E23000009,North Yorkshire,6.795040158567037,3.9308974402557033,9.65918287687837,613,unknown
E23000011,South Yorkshire,12.783408939057729,9.641087801413404,15.925730076702054,745,unknown
E23000010,West Yorkshire,20.030610799427194,15.502415380808108,24.55880621804628,1146,unknown
E23000018,Derbyshire,16.946577922343344,11.812838244414063,22.080317600272625,599,unknown
E23000021,Leicestershire,12.106220174738331,7.592242246577653,16.62019810289901,636,unknown
E23000020,Lincolnshire,11.816768849101551,7.294177237280112,16.33936046092299,684,unknown
E23000022,Northamptonshire,12.334356953769046,8.261539568388795,16.407174339149297,472,unknown
E23000019,Nottinghamshire,10.349599637420043,6.920208719864082,13.778990554976005,613,unknown
E23000015,Staffordshire,22.840332636703238,16.73083503360384,28.949830239802637,561,unknown
E23000017,Warwickshire,14.759759111528473,11.256012178493975,18.26350604456297,756,unknown
E23000016,West Mercia,8.655352367156173,5.403128393287419,11.907576341024926,587,unknown
E23000014,West Midlands,22.455254362760996,18.490468293895482,26.42004043162651,1241,unknown
E23000026,Bedfordshire,13.252310606842395,8.940301764620187,17.5643194490646,537,unknown
E23000023,Cambridgeshire,10.361133649205891,7.030250641208566,13.692016657203217,492,unknown
E23000028,Essex,13.93863250442704,10.54785411811931,17.32941089073477,784,unknown
E23000027,Hertfordshire,7.145657067984913,3.952590669256288,10.338723466713537,562,unknown
E23000024,Norfolk,12.858897082874167,8.572794298684727,17.144999867063607,591,unknown
E23000025,Suffolk,9.863945625176319,5.815333679937491,13.912557570415146,562,unknown
E12000007,City of London / Metropolitan Police,11.401807822435538,9.7905707569213,13.013044887949777,3860,unknown
E23000030,Hampshire,10.448647940889478,6.393031066862541,14.504264814916414,791,unknown
E23000032,Kent,12.164380107232887,9.561909176016185,14.76685103844959,982,unknown
E23000031,Surrey,4.584219556318372,2.687006126445473,6.481432986191271,602,unknown
E23000033,Sussex,10.080956148459093,6.349334272399857,13.812578024518327,552,unknown
E23000029,Thames Valley,7.713532882994317,5.569830444342237,9.857235321646396,751,unknown
E23000036,Avon and Somerset,11.605288601630104,8.123465495997696,15.087111707262512,551,unknown
E23000035,Devon and Cornwall,6.815349008189956,4.290615910897198,9.340082105482713,567,unknown
E23000039,Dorset,13.711521874596496,9.971188714434577,17.451855034758413,615,unknown
E23000037,Gloucestershire,5.562463145944613,3.5215805957939326,7.603345696095293,568,unknown
E23000038,Wiltshire,7.353226362311498,4.5196530384668705,10.186799686156126,608,unknown
W15000004,Dyfed-Powys,7.69270619932764,3.7499819836425576,11.635430415012722,508,unknown
W15000002,Gwent,17.739056542119762,12.914003287855934,22.56410979638359,565,unknown
W15000001,North Wales,10.234739629702442,5.1062816484775375,15.363197610927347,497,unknown
W15000003,South Wales,14.856944004302873,10.760681906112842,18.953206102492906,618,unknown
