"table s20: use of the 101 non-emergency police number, people aged 16 and over, year ending march 2023 to year ending march 2024",unnamed: 1,unnamed: 2,unnamed: 3,age_band
England and Wales,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units in this table are percentages.,,,,unknown
Link to Notes,,,,unknown
Some shorthand is used in this table. [s] denotes there is a statistically significant change at the 5% level. [ns] denotes a non significant statistical change at the 5% level.,,,,unknown
Link to Table of contents,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,unknown
Use of the 101 non-emergency police number,Apr 2022 to Mar 2023 [note 1],Apr 2023 to Mar 2024,Apr 2023 to Mar 2024 compared with Apr 2022 to Mar 2023 Statistically significant difference,unknown
People who said that they had contacted the 101 non-emergency police number,8.609984382920102,7.872281165437271,[s],unknown
People who said that they had not contacted the 101 non-emergency police number,83.45159994371646,83.33792850419242,[ns],unknown
People who said that they had not heard of the 101 non-emergency police number,7.938415673363688,8.789790330369861,[s],unknown
Unweighted base - number of people aged 16 and over,31133,30758,,unknown
