"table a1: proportion of people who were victims of all csew headline crime and personal crime (including fraud and computer misuse), by personal characteristics, people aged 16 and over",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,age_band
"England and Wales, year ending March 2025",,,,,unknown
This worksheet contains one table. The units in this table are percentage of people who were victims of crime once or more. Some cells refer to notes which can be found on the Notes worksheet.,,,,,unknown
Link to Notes,,,,,unknown
Some shorthand is used in this table. [u] denotes that data are not reported because the unweighted base is fewer than 50.,,,,,unknown
Link to Table of contents,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics ,,,,,unknown
Personal characteristic [note 1],Personal characteristics breakdown,"All CSEW headline crime (including fraud and computer misuse) percentage, victims once or more [note 2]","Personal crime (including fraud and computer misuse) percentage, victims once or more [note 3]",Unweighted base - number of people aged 16 and over,unknown
All people,All people,17.06516390552321,10.79438186003107,31532,unknown
All people,16-24,19.18082591105338,11.85897453166109,1653,unknown
All people,25-34,19.70137173977373,11.62070598746826,4360,unknown
All people,35-44,18.42144676492737,11.22634933768066,5318,unknown
All people,45-54,18.50115768299213,11.7750940942019,4658,unknown
All people,55-64,17.27259034462119,11.25328759975683,5540,unknown
All people,65-74,14.1116602265993,9.569237254879749,5128,unknown
All people,75+,10.0634009857087,7.205752421950459,4875,unknown
Men,Men,16.4580995028198,10.50848536163685,14896,unknown
Men,16-24,18.1167958172456,11.99516455645664,806,unknown
Men,25-34,20.35512162308772,12.47548135712067,1965,unknown
Men,35-44,18.07228409274082,11.66367448376171,2392,unknown
Men,45-54,17.06021507968127,10.1086217127814,2203,unknown
Men,55-64,15.1114457978533,9.38211341225671,2724,unknown
Men,65-74,13.70980093449353,9.285940623971484,2518,unknown
Men,75+,10.03298434674272,7.47523757807329,2288,unknown
Women,Women,17.65195258882314,11.0707295244728,16636,unknown
Women,16-24,20.30642516695357,11.71490399130418,847,unknown
Women,25-34,19.02716515072213,10.73918355650838,2395,unknown
Women,35-44,18.76252865315951,10.79914534802561,2926,unknown
Women,45-54,19.90662440086354,13.40053806605533,2455,unknown
Women,55-64,19.34362655827373,13.04644368927443,2816,unknown
Women,65-74,14.48431926583507,9.831948737149563,2610,unknown
Women,75+,10.08846035805748,6.983731544584485,2587,unknown
Ethnic group,White ,16.90074335537148,10.91379876011357,26412,unknown
Ethnic group,   English/Welsh/Scottish/Northern Irish/British,16.85156029580284,10.86972510667612,23983,unknown
Ethnic group,   Irish,23.24760764289313,18.9953575938759,284,unknown
Ethnic group,   Gypsy or Irish Traveller,[u],[u],26,unknown
Ethnic group,   Any other white background,16.8484923826886,10.58952807555519,2119,unknown
Ethnic group,Mixed/Multiple,24.17913269660895,15.31330481242658,491,unknown
Ethnic group,   White and Black Caribbean,21.05843144805625,12.00573165215725,149,unknown
Ethnic group,   White and Black African,28.33577132362104,22.90446782769639,83,unknown
Ethnic group,   White and Asian,22.60603865552496,14.67291412074011,112,unknown
Ethnic group,   Any other Mixed/Multiple ethnic background,26.51828693996928,15.05550701555499,147,unknown
Ethnic group,Asian/Asian British,16.49622879498977,8.778654242688864,2585,unknown
