"table s23: awareness of police and crime commissioners, people aged 16 and over, by household characteristics, year ending march 2024 [note 1]",unnamed: 1,unnamed: 2,unnamed: 3,age_band
England and Wales,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units in this table are percentages.,,,,unknown
Link to Notes ,,,,unknown
Some shorthand is used in this table. [u] denotes that data are not reported because the unweighted base is fewer than 50. [z] denotes not applicable.,,,,unknown
Link to Table of contents,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,unknown
Household characteristic [note 1],Household or area characteristics breakdown,Percentage who said they were aware of Police and Crime Commissioners,Unweighted base - number of people aged 16 and over [note 2][note 3],unknown
All people,All people,58.95257097335813,13049,unknown
Structure of household,Single person and child(ren) under 16,45.85094191233271,582,unknown
Structure of household,Persons and child(ren) under 16,51.43938820866019,2377,unknown
Structure of household,Person(s) and no children,61.83268647159523,10090,unknown
Total Household Income,"Less than £10,400",46.25798323078523,827,unknown
Total Household Income,"£10,400 to less than £20,800",53.78869357262256,2284,unknown
Total Household Income,"£20,800 to less than £31,200",61.01773498140276,2125,unknown
Total Household Income,"£31,200 to less than £41,600",63.487915760926946,1436,unknown
Total Household Income,"£41,600 to less than £52,000",65.52293329078043,1249,unknown
Total Household Income,"52,000 or more",65.05742075980834,2588,unknown
Total Household Income,No income stated of not enough information provided,39.06346160917949,117,unknown
Tenure,Owners,66.88765109533318,8590,unknown
Tenure,Social renters,44.63633163342202,2179,unknown
Tenure,Private renters,42.635998060991085,2168,unknown
Accommodation type,House or bungalow,60.39745682750283,11326,unknown
Accommodation type,    Detached,69.46231850561172,3349,unknown
Accommodation type,    Semi-detached,59.0789122014003,4277,unknown
Accommodation type,    Terraced,52.67712730635841,3700,unknown
Accommodation type,Flats/maisonettes,45.7509525897191,1652,unknown
Accommodation type,Other accommodation,[u],30,unknown
Output Area Classification,Rural residents,73.9332909473821,1855,unknown
Output Area Classification,Cosmopolitans,50.2610058251888,434,unknown
Output Area Classification,Ethnicity central,34.833433491163184,179,unknown
Output Area Classification,Multicultural metropolitans,39.738783339858145,1264,unknown
Output Area Classification,Urbanites,59.52680030222871,2507,unknown
Output Area Classification,Suburbanites,68.52047927251924,2624,unknown
Output Area Classification,Constrained city dwellers,48.789839691663964,1232,unknown
Output Area Classification,Hard-pressed living,53.252966446156385,2954,unknown
Area type,Urban,55.79121465649044,9986,unknown
Area type,Rural,69.22344090928928,3063,unknown
Level of physical disorder,High,46.77324975781135,854,unknown
Level of physical disorder,Not high,59.748671796727564,12172,unknown
English Indices of Deprivation (Employment) ,20% most deprived Output Areas,44.660890735712385,3025,unknown
English Indices of Deprivation (Employment) ,Other Output Areas,60.452015655634,6893,unknown
English Indices of Deprivation (Employment) ,20% least deprived Output Areas,64.87763342425816,2113,unknown
Welsh Indices of Deprivation (Employment) ,20% most deprived Output Areas,55.138450740615006,218,unknown
Welsh Indices of Deprivation (Employment) ,Other Output Areas,69.55295356062703,626,unknown
Welsh Indices of Deprivation (Employment) ,20% least deprived Output Areas,69.71883116669105,174,unknown
Region,North East,58.62372664665663,894,unknown
Region,North West,55.02907021936769,1308,unknown
Region,Yorkshire and The Humber,56.389584440910326,1499,unknown
Region,East Midlands,59.7027884288964,1521,unknown
Region,West Midlands,51.9784810535391,1736,unknown
Region,East,55.86992211532413,1761,unknown
Region,London [note 8],[z],[z],unknown
Region,South East,59.008250764895415,1865,unknown
Region,South West,70.0520132462056,1447,unknown
Region,Wales,67.35025585763397,1018,unknown
