"table s12: visibility of police foot patrols, people aged 16 and over, by household and area characteristics, year ending march 2024",unnamed: 1,unnamed: 2,unnamed: 3,age_band
England and Wales,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units in this table are percentages.,,,,unknown
Link to Notes ,,,,unknown
Some shorthand is used in this table. [u] denotes that data are not reported because the unweighted base is fewer than 50.,,,,unknown
Link to Table of contents,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,unknown
Household or area characteristics [note 1],Household or area characteristics breakdown,"High visibility of police (%) [note 2, 3, 4]",Unweighted base - number of people aged 16 and over [note 3],unknown
All people,All people,11.819402316436655,7958,unknown
Structure of household,Single person with child(ren) under 16,13.413524807192662,364,unknown
Structure of household,Persons with child(ren) under 16,13.622910570463505,1517,unknown
Structure of household,Person(s) and no child(ren),11.13553832810755,6077,unknown
Total Household Income,"Less than £10,400",14.207879513392056,495,unknown
Total Household Income,"£10,400 to less than £20,800",12.29153219805316,1336,unknown
Total Household Income,"£20,800 to less than £31,200",11.757198358592662,1262,unknown
Total Household Income,"£31,200 to less than £41,600",11.499586252218045,835,unknown
Total Household Income,"£41,600 to less than £52,000",16.520061549167192,735,unknown
Total Household Income,"£52,000 or more",10.21685094808389,1617,unknown
Total Household Income,No income stated or not enough information provided,11.336431147711856,91,unknown
Tenure,Owners,7.880214692389825,4984,unknown
Tenure,Social renters,18.844875301104107,1421,unknown
Tenure,Private renters,18.716195605422477,1469,unknown
Accommodation type,House or bungalow,9.903152328531274,6518,unknown
Accommodation type,    Detached,5.648043030081532,1777,unknown
Accommodation type,    Semi-detached,8.590422767512072,2453,unknown
Accommodation type,    Terraced,15.0691575954948,2288,unknown
Accommodation type,Flats/maisonettes/bedsit,22.6608031690104,1392,unknown
Accommodation type,Other accommodation,[u],23,unknown
Output Area Classification,Rural residents,4.241352468271322,936,unknown
Output Area Classification,Cosmopolitans,29.021287616766728,360,unknown
Output Area Classification,Ethnicity central,27.658828402126126,517,unknown
Output Area Classification,Multicultural metropolitans,13.571091614776124,1047,unknown
Output Area Classification,Urbanites,10.82141901502946,1408,unknown
Output Area Classification,Suburbanites,5.618433186889681,1437,unknown
Output Area Classification,Constrained city dwellers,18.829464299037912,690,unknown
Output Area Classification,Hard-pressed living,10.036126612408907,1563,unknown
Area type,Urban,13.817853150915099,6431,unknown
Area type,Rural,3.2476827815676064,1527,unknown
Level of physical disorder,High,18.57680173034912,535,unknown
Level of physical disorder,Not high,11.344064096913618,7409,unknown
English Indices of Deprivation (Employment),20% most deprived Output Areas,16.59856013708233,1817,unknown
English Indices of Deprivation (Employment),Other Output Areas,11.09061890011352,4317,unknown
English Indices of Deprivation (Employment),20% least deprived Output Areas,8.971727360662516,1311,unknown
Welsh Indices of Deprivation (Employment) ,20% most deprived Output Areas,15.918572196930613,105,unknown
Welsh Indices of Deprivation (Employment) ,Other Output Areas,13.395700159526914,317,unknown
Welsh Indices of Deprivation (Employment) ,20% least deprived Output Areas,15.224336984054721,91,unknown
Region,North East,5.279028386698092,444,unknown
Region,North West,12.081874689558168,1054,unknown
Region,Yorkshire and The Humber,10.965429971956716,754,unknown
Region,East Midlands,13.463239705709972,751,unknown
Region,West Midlands,11.081040308596332,854,unknown
Region,East,9.220499740072214,906,unknown
Region,London,18.93392192851912,1016,unknown
Region,South East,10.230894370837715,947,unknown
Region,South West,7.71699364596008,719,unknown
Region,Wales,14.155199840685137,513,unknown
