"table a18: number of child sexual abuse crimes - combining crimes flagged as child sexual abuse and indecent images of children (iioc) crimes; plus crimes flagged as child sexual exploitation, by police force area (official statistics in development) [notes 1, 2, 3, 4, 5]",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,age_band
"England and Wales, year ending March 2025",,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet. ,,,,,unknown
Link to Notes page,,,,,unknown
"Police recorded crime statistics are published as official statistics, not accredited official statistics",,,,,unknown
Link to Table of Contents,,,,,unknown
Source: Police recorded crime from the Home Office ,,,,,unknown
Police force area,"Apr 2024 to Mar 2025
Total number of sexual offence crimes flagged as child sexual abuse (CSA)","Apr 2024 to Mar 2025
Total number of Indecent Images of Children (IIOC) crimes 
[note 7]","Apr 2024 to Mar 2025
 Total number of child sexual abuse crimes (CSA flagged and 
IIOC) 
[note 7]","Apr 2024 to Mar 2025
Total number of crimes
 flagged as child sexual exploitation
 [note 8]",unknown
ENGLAND AND WALES [note 6],78968,41485,120453,16478,unknown
England ,73872,39066,112938,15726,unknown
North East ,5143,2568,7711,1088,unknown
Cleveland,1394,707,2101,121,unknown
Durham,1087,626,1713,744,unknown
Northumbria,2662,1235,3897,223,unknown
North West,13323,5666,18989,3019,unknown
Cheshire,2134,865,2999,432,unknown
Cumbria,738,421,1159,289,unknown
Greater Manchester ,5435,2050,7485,1521,unknown
Lancashire,2701,1107,3808,495,unknown
Merseyside,2315,1223,3538,282,unknown
Yorkshire and The Humber ,10302,5396,15698,891,unknown
Humberside,1591,771,2362,478,unknown
North Yorkshire,1018,582,1600,40,unknown
South Yorkshire,2381,1455,3836,219,unknown
West Yorkshire,5312,2588,7900,154,unknown
East Midlands,7081,3704,10785,1460,unknown
Derbyshire,1402,849,2251,520,unknown
Leicestershire,1709,838,2547,360,unknown
Lincolnshire,1235,717,1952,187,unknown
Northamptonshire,1243,480,1723,157,unknown
Nottinghamshire,1492,820,2312,236,unknown
West Midlands,9721,3428,13149,1230,unknown
Staffordshire,1884,447,2331,188,unknown
Warwickshire,927,565,1492,121,unknown
West Mercia,1914,792,2706,655,unknown
West Midlands,4996,1624,6620,266,unknown
East ,6671,4455,11126,1585,unknown
Bedfordshire,984,494,1478,111,unknown
Cambridgeshire,1279,777,2056,491,unknown
Essex,1170,1188,2358,315,unknown
Hertfordshire,1078,532,1610,148,unknown
Norfolk,1201,848,2049,361,unknown
Suffolk,959,616,1575,159,unknown
London,4226,2987,7213,1378,unknown
City of London,20,6,26,7,unknown
Metropolitan Police,4206,2981,7187,1371,unknown
South East ,9470,6780,16250,1827,unknown
Hampshire,1047,1482,2529,172,unknown
Kent,2153,1804,3957,166,unknown
Surrey,1003,678,1681,38,unknown
Sussex,2392,1294,3686,1053,unknown
Thames Valley,2875,1522,4397,398,unknown
South West ,7935,4082,12017,3248,unknown
Avon and Somerset,2771,1402,4173,1432,unknown
Devon and Cornwall ,2959,1404,4363,983,unknown
Dorset,754,310,1064,80,unknown
Gloucestershire,458,578,1036,492,unknown
Wiltshire,993,388,1381,261,unknown
Wales,4617,2400,7017,708,unknown
Dyfed-Powys,601,331,932,56,unknown
Gwent,1027,491,1518,117,unknown
North Wales,1420,533,1953,280,unknown
South Wales,1569,1045,2614,255,unknown
British Transport Police,479,19,498,44,unknown
