"table s6: perceptions of the local police, by household and area characteristics of people 16 years and over saying they 'strongly agree' or 'tend to agree', year ending march 2024",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,age_band
England and Wales,,,,,,,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units in this table are percentages.,,,,,,,,,,unknown
Link to Notes ,,,,,,,,,,unknown
Link to Table of contents,,,,,,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,,,,unknown
Household or area characteristic [note 1],Household or area characteristic breakdown [note 1],"Police can be relied on when needed
(%)","Police would treat you with respect
(%)","Police would treat you fairly
(%)","Police understand local concerns
(%)","Police deal with local concerns
(%)","Police in this area can be trusted
(%)","Overall confidence in local police
(%)",Unweighted base - number of people aged 16 and over [note 2],unknown
All people,All people,50.325863259468434,79.15076835521351,57.487291358673176,56.58755792117187,44.588203643277005,68.68312215141025,65.17795554184538,30462,unknown
Structure of household,Single person with child(ren) under 16,52.37724226633494,76.56216016075956,53.54410205657447,53.981229639232545,41.64478996340896,62.526031498656046,60.18942461941395,1369,unknown
Structure of household,Persons with child(ren) under 16,55.549144578614204,80.98515486617302,61.382055868411605,59.38909430481664,48.001280970280725,71.81928476683517,67.65280271680246,5757,unknown
Structure of household,Person(s) and no child(ren),48.4965101682669,78.62227435089753,56.30166966034606,55.7313810191651,43.53660280360952,67.83450922009814,64.51523293134414,23336,unknown
Total household income,"Less than £10,400",53.86800028150924,77.86168928917706,60.37438172787143,56.82209554698316,48.823281520368226,69.40659170943255,66.01104412712068,1852,unknown
Total household income,"£10,400 to less than £20,800",50.86023870209922,79.62498125262745,58.874493391885636,57.03667934838085,47.246642384544,68.92472792940148,64.98577887215684,5089,unknown
Total household income,"£20,800 to less than £31,200",49.90117965942099,81.50461615721852,60.657104158648224,58.628750165620524,46.824737897780906,70.4432561242802,66.87194691745692,4750,unknown
Total household income,"£31,200 to less than £41,600",50.875272701011326,80.44939946847667,57.39763550811021,57.027494223541176,43.1702353203112,68.33770440035417,66.94517074076836,3203,unknown
Total household income,"£41,600 to less than £52,000",48.725663145791806,79.39322814115522,56.58309714570065,57.35674765681063,43.45606453857336,69.3606101991344,65.76741464616775,2906,unknown
Total household income,"£52,000 or more",48.62709214976912,81.5682834240224,55.90838595448054,56.24333176982856,42.053930966068705,70.85533908991081,66.84684546724937,6136,unknown
Total household income,No income stated or not enough information provided,53.873208793257334,73.71883294892329,60.97310318965102,60.08421062208322,51.162884004614234,71.13623381059827,65.63998827207607,327,unknown
Tenure,Owner occupiers,47.10685152600893,80.57290859708846,57.35943313468669,57.067848246588284,43.24620381897598,70.07237537376848,65.80054906347353,19107,unknown
Tenure,Social renters,50.179367921526435,73.27126529562467,55.76512725900274,53.35367659159741,43.28029163035899,60.68446789499203,58.30236019917936,5268,unknown
Tenure,Private renters,59.30676164672482,78.92768798959987,58.743158997569964,57.53688634172836,49.219031230119676,70.22073206957883,68.17307723135734,5738,unknown
Accommodation type ,Houses,49.364738631879,79.6659214672517,57.7204222419916,56.9422795913033,44.300068227477034,69.2231897319021,65.41623576656954,25218,unknown
Accommodation type ,Detached,46.42496655869493,82.19924843128312,57.85375855586117,58.55585416601545,44.4051701551316,73.1283347626282,68.57713472063634,6820,unknown
Accommodation type ,Semi-detached,49.377379656981134,79.30203718056984,58.06551839482058,56.44585881464753,44.280952838552935,68.62986275379099,64.68392976235347,9540,unknown
Accommodation type ,Terraced,51.82540305755158,77.92357399373081,57.21966724456568,56.13348435009043,44.23228152485192,66.57819571009875,63.560874018382215,8858,unknown
Accommodation type ,Flats/maisonettes,55.951235182753194,76.23829018364955,56.19135275470527,54.62077417424611,46.261247798687855,65.46936256737412,63.82983064864826,5093,unknown
Accommodation type ,Other accommodation,41.313674579824344,88.43219955397096,67.43945770740494,61.14035432264852,52.00290951092119,72.95877961398257,67.28453786671851,60,unknown
Output Area Classification,Rural residents ,45.96335369689363,82.03089655092153,58.05555387989757,58.58939478953305,44.312940518839866,72.55911127060406,67.5826071820948,3534,unknown
Output Area Classification,Cosmopolitans ,60.046494988077676,78.83917211151667,55.13185070775624,54.65763234752785,43.05016381082054,70.11586262395275,65.67270189509193,1353,unknown
Output Area Classification,Ethnicity central ,52.4664508992807,70.62331319132676,50.78328264772807,50.2341688069201,41.54182803296741,57.414676872313414,57.09815245917158,1864,unknown
Output Area Classification,Multicultural metropolitans ,53.871130061552435,74.58073122058896,56.49534159941055,54.68191486388868,46.699806074292425,63.63548188006317,61.964562733189815,4205,unknown
Output Area Classification,Urbanities ,49.794684232440495,80.40753451579803,58.223738000212315,57.42910657379808,45.02159688230885,71.19098890013478,67.25851512694835,5316,unknown
Output Area Classification,Suburbanites ,49.215226988607846,83.0435981415811,60.64646617573165,60.03396808247064,46.08945908360468,74.43509162504326,70.37109226822793,5555,unknown
Output Area Classification,Constrained city dwellers ,51.292493192181134,77.01338478876617,55.80243822620223,56.38929123017538,46.131689202309765,64.64977138333391,62.84024173168449,2577,unknown
Output Area Classification,Hard-pressed living ,48.14028014379448,79.23485653316189,57.327785295145645,54.9922237034444,41.85496317682179,66.31928478256692,61.83839681683185,6058,unknown
Area type,Urban,51.148826578884865,78.52705567051538,57.07953801850785,56.32357892134212,44.81488753190033,67.8781260757253,64.58111998811373,24545,unknown
Area type,Rural,46.86205052960112,81.76507193032474,59.201532401843984,57.69417118600708,43.63392420361098,72.08936819358908,67.68821680062192,5917,unknown
Level of physical disorder,High,53.494707322672504,76.53460170718591,57.9186290310771,59.50694950553527,52.322454897070024,66.6938287616049,64.22451544609584,2064,unknown
Level of physical disorder,Not high,50.109727563674625,79.3423171389344,57.45900432841634,56.385827422136146,44.0364396513388,68.83445661330903,65.25775177910276,28339,unknown
English Employment deprivation index,20% most deprived output areas,50.424766264302406,75.29366483911082,54.888401089607235,55.45487861292999,43.149479721938164,62.38714201215653,59.485491176110145,7062,unknown
English Employment deprivation index,Other output areas,50.072987204747584,79.29078743282541,57.23224892635262,55.936537507751275,44.246152896988995,68.72243140585412,65.12633014435576,16538,unknown
English Employment deprivation index,20% least deprived output areas,50.86205905430747,82.32380353567386,60.722212353182485,59.05616617760682,46.705251188022785,74.47445917911503,70.74360584139417,4848,unknown
Welsh Employment deprivation index,20% most deprived output areas,44.166644615858964,72.1020722021269,50.001777933765574,52.18137615709755,36.03056580124006,61.194626011032405,53.66840856810397,437,unknown
Welsh Employment deprivation index,Other output areas,51.063392873541446,79.76255220663253,58.32472190161184,59.61287114099903,47.45430759782739,68.0419665320094,65.44145433905226,1235,unknown
Welsh Employment deprivation index,20% least deprived output areas,55.52055640723306,83.66372490839585,61.024984192674076,60.868229572935775,47.58227763127723,77.32235658095944,73.12195231060895,342,unknown
Region,North East,53.161706732321754,81.56109994880302,59.1735000259714,60.284542416050876,45.1072465406335,71.5891503302518,64.73276046846256,1712,unknown
Region,North West,51.70148087349538,80.50620076673849,58.47389368899599,62.211535988483696,46.69957972609563,70.38893441309047,66.68952154354032,4054,unknown
Region,Yorkshire and The Humber,51.50311151812434,83.17964619603069,58.10450164603789,58.17011065954134,44.51584139460808,70.71331220508985,65.55008039172607,2932,unknown
Region,East Midlands,46.99519949853372,75.37268378258584,54.002733380992474,51.684175210129304,40.416833368700175,64.5959096620695,61.68934732259213,2933,unknown
Region,West Midlands,48.27336760120882,80.35044475629306,58.24566736129613,57.052478950332805,44.41733324022853,67.79667001034272,64.7393567771675,3311,unknown
Region,East,51.79186754459739,78.75670508672526,58.78453169806126,59.060347868856404,48.61166153263506,71.2520656209746,67.77730087626871,3312,unknown
Region,London,54.13416724328118,74.52667409220872,54.756873128952364,53.20082478051683,44.67129637431982,62.58271676626656,61.69209681621675,3743,unknown
Region,South East,48.19570549893414,79.74410484305788,59.08556807227501,53.456674057135984,43.04578955879384,71.09180420453676,66.89546737295497,3610,unknown
Region,South West,46.78908474185642,81.06075590128229,57.478962187775146,56.487874446491915,42.95535750462307,70.58177291271546,66.4833286533048,2841,unknown
Region,Wales,50.84334848438201,79.29606863841035,57.52656920853257,58.67421093009614,45.62620080951236,68.83417322291699,65.08864382430679,2014,unknown
